#N;S_wide;rel_err_wide;S_narrow;rel_err_narrow
100;0.6805495168;0.2794736538;0.8208000000;0.1309845789
600;1.1180456348;0.1837218544;0.9048000000;0.0420502522
1100;0.9722135955;0.0293233517;0.9281454545;0.0173334393
1600;0.8324578911;0.1186418801;0.9819000000;0.0395787548
2100;1.0046207153;0.0636341301;0.9668571429;0.0236522504
2600;0.8974279343;0.0498553677;0.9559384615;0.0120921840
3100;0.9439880395;0.0005602295;0.9429677419;0.0016404614
3600;0.9776147821;0.0350418147;0.9536000000;0.0096163566
4100;0.8939622573;0.0535246254;0.9704195122;0.0274238804
4600;0.9214894079;0.0243804754;0.9469565217;0.0025826273
5100;0.8654607301;0.0837003889;0.9526588235;0.0086198936
5600;0.9791579783;0.0366756613;0.9288000000;0.0166404446
6100;0.9530880821;0.0090743677;0.9527606557;0.0087277076
6600;0.9177107121;0.0283811393;0.9473454545;0.0029944068
7100;0.8749922359;0.0736089835;0.9489802817;0.0047252669
7600;0.9683759103;0.0252602332;0.9394105263;0.0054066349
8100;0.9938183421;0.0521972039;0.9498666667;0.0056637199
8600;0.8964713735;0.0508681188;0.9483906977;0.0041010495
9100;0.9508462637;0.0067008604;0.9559384615;0.0120921840
9600;0.9904426004;0.0486231645;0.9420000000;0.0026650504
10100;0.9356352622;0.0094036655;0.9431287129;0.0014700347
10600;0.9492840296;0.0050468575;0.9370867925;0.0078668695
11100;0.9249167179;0.0207518384;0.9439135135;0.0006391333
11600;0.9336602977;0.0114946433;0.9465517241;0.0021540511
12100;0.9481091262;0.0038029380;0.9405223140;0.0042295386
12600;0.9698988012;0.0268725818;0.9504000000;0.0062283823
13100;0.9365905019;0.0083923131;0.9441343511;0.0004053232
13600;0.9414744892;0.0032214308;0.9480705882;0.0037621362
14100;0.9418750152;0.0027973770;0.9502978723;0.0061202554
14600;0.9422481080;0.0024023681;0.9536547945;0.0096743699
15100;0.9413087925;0.0033968608;0.9521165563;0.0080457725
15600;0.9279654126;0.0175240573;0.9400615385;0.0047173810
16100;0.9583248298;0.0146187324;0.9488795031;0.0046185684
16600;0.9382446867;0.0066409582;0.9508337349;0.0066875957
17100;0.9591370384;0.0154786516;0.9466947368;0.0023054646
17600;0.9313364330;0.0139550165;0.9393545455;0.0054659042
18100;0.9684536534;0.0253425431;0.9516729282;0.0075760848
18600;0.9429426485;0.0016670288;0.9370064516;0.0079519297
19100;0.9447269284;0.0002220632;0.9480628272;0.0037539193
19600;0.9617970213;0.0182948872;0.9432734694;0.0013167749
20100;0.9562518798;0.0124240131;0.9428776119;0.0017358858
20600;0.9717416472;0.0288236801;0.9373281553;0.0076113285
21100;0.9828111845;0.0405434640;0.9401630332;0.0046099243
21600;0.9564601345;0.0126445011;0.9454666667;0.0010052552
22100;0.9132648979;0.0330881095;0.9363257919;0.0086725728
22600;0.9403800530;0.0043801563;0.9416707965;0.0030135920
23100;0.9326516570;0.0125625336;0.9400519481;0.0047275348
23600;0.9388452475;0.0060051193;0.9370983051;0.0078546806
24100;0.9375204962;0.0074076891;0.9445443983;0.0000288110
24600;0.9263693772;0.0192138470;0.9430829268;0.0015185103
25100;0.9458747411;0.0014373007;0.9463840637;0.0019765420
25600;0.9414521497;0.0032450825;0.9397125000;0.0050869227
26100;0.9137317815;0.0325938001;0.9427862069;0.0018326601
26600;0.9462635334;0.0018489314;0.9436330827;0.0009360372
27100;0.9564285777;0.0126110906;0.9405697417;0.0041793249
27600;0.9503740147;0.0062008706;0.9459130435;0.0014778530
28100;0.9604501570;0.0168689054;0.9417395018;0.0029408508
28600;0.9569165284;0.0131277045;0.9425958042;0.0020342475
29100;0.9421451338;0.0025113912;0.9453525773;0.0008844640
29600;0.9344417835;0.0106672515;0.9487945946;0.0045286722
30100;0.9470200206;0.0026498562;0.9487255814;0.0044556050
30600;0.9547391681;0.0108224418;0.9538823529;0.0099152955
31100;0.9378266195;0.0070835836;0.9522520900;0.0081892678
31600;0.9516002060;0.0074990907;0.9415139241;0.0031796794
32100;0.9422294379;0.0024221349;0.9485607477;0.0042810886
32600;0.9537236437;0.0097472634;0.9428024540;0.0018154587
33100;0.9193439740;0.0266519363;0.9444833837;0.0000357878
33600;0.9308366478;0.0144841600;0.9376714286;0.0072478907
34100;0.9625199702;0.0190603036;0.9435589443;0.0010145306
34600;0.9550734136;0.0111763215;0.9373317919;0.0076074783
35100;0.9350977488;0.0099727535;0.9476923077;0.0033616347
35600;0.9495468179;0.0053250825;0.9415415730;0.0031504063
36100;0.9614411457;0.0179181068;0.9477673130;0.0034410460
36600;0.9416659006;0.0030187755;0.9457180328;0.0012713870
37100;0.9329057682;0.0122934954;0.9437239892;0.0008397906
37600;0.9393755299;0.0054436871;0.9482170213;0.0039171711
38100;0.9801239948;0.0376984236;0.9473385827;0.0029871312
38600;0.9414856010;0.0032096662;0.9397305699;0.0050677913
39100;0.9289488473;0.0164828537;0.9407508951;0.0039875302
39600;0.9361238484;0.0088863788;0.9408000000;0.0039355408
40100;0.9375436344;0.0073831918;0.9475630923;0.0032248290
40600;0.9576064454;0.0138581486;0.9405399015;0.0042109180
41100;0.9592034379;0.0155489516;0.9412204380;0.0034904055
41600;0.9553868217;0.0115081398;0.9452423077;0.0007677169
42100;0.9641310597;0.0207660316;0.9457824228;0.0013395594
42600;0.9327316819;0.0124778079;0.9445859155;0.0000727669
43100;0.9496564355;0.0054411393;0.9423146172;0.0023319520
43600;0.9389888648;0.0058530656;0.9490788991;0.0048296773
44100;0.9700090295;0.0269892851;0.9441632653;0.0003747106
44600;0.9506330695;0.0064751427;0.9405524664;0.0041976150
45100;0.9260819526;0.0195181555;0.9392567627;0.0055694308
45600;0.9483346651;0.0040417255;0.9443052632;0.0002243715
46100;0.9361510088;0.0088576230;0.9436529284;0.0009150257
46600;0.9440486094;0.0004961017;0.9441579399;0.0003803488
47100;0.9662275670;0.0229856920;0.9476178344;0.0032827867
47600;0.9519931867;0.0079151559;0.9490689076;0.0048190988
48100;0.9627137953;0.0192655143;0.9506694387;0.0065136483
48600;0.9422070030;0.0024458876;0.9449777778;0.0004876480
49100;0.9367703707;0.0082018785;0.9401059063;0.0046704069
49600;0.9341874992;0.0109364730;0.9452612903;0.0007878146
50100;0.9465983870;0.0022034550;0.9443640719;0.0001621083
50600;0.9412795266;0.0034278459;0.9474687747;0.0031249710
51100;0.9294057562;0.0159991051;0.9403960861;0.0043631814
51600;0.9552563816;0.0113700374;0.9496465116;0.0054306325
52100;0.9412371163;0.0034727474;0.9470556622;0.0026875914
52600;0.9393135917;0.0055092637;0.9462661597;0.0018517120
53100;0.9398064756;0.0049874267;0.9431593220;0.0014376275
53600;0.9344859037;0.0106205396;0.9458865672;0.0014498214
54100;0.9199189271;0.0260432094;0.9430269871;0.0015777361
54600;0.9499559582;0.0057582566;0.9482109890;0.0039107844
55100;0.9584508622;0.0147521681;0.9495637024;0.0053429589
55600;0.9498316998;0.0056266990;0.9408172662;0.0039172603
56100;0.9347807726;0.0103083496;0.9470374332;0.0026682916
56600;0.9424975262;0.0021382985;0.9470671378;0.0026997411
57100;0.9476954243;0.0033649344;0.9415481611;0.0031434312
57600;0.9357555857;0.0092762740;0.9424000000;0.0022415536
58100;0.9541414667;0.0101896302;0.9425184165;0.0021161811
58600;0.9637523509;0.0203650768;0.9413569966;0.0033458251
59100;0.9473736204;0.0030242271;0.9448203046;0.0003209245
59600;0.9315959470;0.0136802582;0.9420402685;0.0026224165
60100;0.9384045037;0.0064717532;0.9413430948;0.0033605435
60600;0.9410899259;0.0036285840;0.9463366337;0.0019263257
61100;0.9303654489;0.0149830381;0.9445315876;0.0000152476
61600;0.9540635040;0.0101070878;0.9440181818;0.0005283166
62100;0.9449728281;0.0004824075;0.9457623188;0.0013182745
62600;0.9451904061;0.0007127665;0.9463744409;0.0019663538
63100;0.9708269200;0.0278552201;0.9432114105;0.0013824793
63600;0.9543285341;0.0103876862;0.9429962264;0.0016103037
64100;0.9394525757;0.0053621154;0.9486028081;0.0043256198
64600;0.9675481742;0.0243838743;0.9428433437;0.0017721671
65100;0.9516044594;0.0075035940;0.9412423963;0.0034671572
65600;0.9636178046;0.0202226269;0.9443195122;0.0002092855
66100;0.9277947595;0.0177047349;0.9389845688;0.0058576140
